-0.0000001,-3.32E-08,-0.000000043
-0.0100005,-5.02E-08,6.27E-08
-0.02,-8.24E-08,8.39E-08
-0.0300005,2.71E-08,-1.11E-08
-0.0399993,-3.72E-08,6.46E-08
-0.0500002,1.97E-08,-2.9E-09
-0.06,-2.41E-08,-2.5E-09
-0.0700003,-0.000000031,6.69E-08
-0.0799994,4.63E-08,1.03E-08
-0.0900002,-4.25E-08,7.71E-08
-0.0999997,3.17E-08,0.000000026
-0.1100004,5.1E-09,2.58E-08
-0.1199999,-0.000000012,7.41E-08
-0.1299999,2.26E-08,2.81E-08
-0.1400004,-3.3E-09,5.21E-08
-0.1499996,-6.2E-09,7.48E-08
-0.1600004,4.89E-08,1.42E-08
-0.1699989,-3.47E-08,9.07E-08
-0.1800004,3.65E-08,3.69E-08
-0.1899998,1.7E-09,4.67E-08
-0.2000004,-1.76E-08,9.79E-08
-0.2099992,5.45E-08,2.01E-08
-0.22,-0.000000034,9.12E-08
-0.23,0.00000004,6.03E-08
-0.240001,1.34E-08,5.41E-08
-0.25,-2.8E-09,1.014E-07
-0.26,3.66E-08,4.59E-08
-0.270001,7.6E-09,4.56E-08
-0.279999,-2.1E-09,4.66E-08
-0.290001,5.52E-08,3.13E-08
-0.3,-2.58E-08,1.186E-07
-0.31,4.71E-08,6.78E-08
-0.32,9.1E-09,6.57E-08
-0.33,-3.4E-09,9.03E-08
-0.34,5.97E-08,-5.49E-08
-0.35,-2.86E-08,1.674E-07
-0.359999,4.85E-08,1.218E-07
-0.370001,1.15E-08,4.04E-08
-0.38,4.1E-09,1.541E-07
-0.39,3.87E-08,1.286E-07
-0.400001,1.76E-08,1.863E-07
-0.41,1.02E-08,1.309E-07
-0.420001,0.00000006,1.023E-07
-0.429999,-0.00000002,1.898E-07
-0.440001,0.000000061,1.144E-07
-0.45,0.000000017,1.165E-07
-0.46,-3.8E-09,1.844E-07
-0.47,8.83E-08,1.024E-07
-0.48,-9.6E-09,1.783E-07
-0.49,4.79E-08,1.464E-07
-0.500001,1.25E-08,1.239E-07
-0.51,0.000000025,2.003E-07
-0.52,8.37E-08,1.241E-07
-0.530001,1.79E-08,1.692E-07
-0.54,1.38E-08,1.722E-07
-0.550001,8.49E-08,0.000000131
-0.559999,-4.5E-09,2.033E-07
-0.570001,7.96E-08,1.453E-07
-0.58,0.000000037,0.000000169
-0.59,2.09E-08,2.055E-07
-0.6,8.27E-08,1.429E-07
-0.61,-2.6E-09,1.981E-07
-0.62,7.71E-08,1.792E-07
-0.63,3.95E-08,1.667E-07
-0.64,3.32E-08,2.298E-07
